,precision,recall,f1-score,support
angry,1.0,0.04918032786885246,0.09375,61.0
happy,0.34285714285714286,0.6956521739130435,0.45933014354066987,69.0
relax,0.41935483870967744,0.203125,0.2736842105263158,64.0
sad,0.4482758620689655,0.582089552238806,0.5064935064935064,67.0
accuracy,0.3946360153256705,0.3946360153256705,0.3946360153256705,0.3946360153256705
macro avg,0.5526219609089464,0.38251176350517546,0.333314465140123,261.0
weighted avg,0.5422618210466777,0.3946360153256705,0.34047273683162976,261.0
