,precision,recall,f1-score,support
angry,0.5,0.04918032786885246,0.08955223880597014,61.0
happy,0.3698630136986301,0.782608695652174,0.5023255813953489,69.0
relax,0.6,0.28125,0.3829787234042553,64.0
sad,0.4177215189873418,0.4925373134328358,0.4520547945205479,67.0
accuracy,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.41379310344827586
macro avg,0.4718961331714929,0.40139408423846556,0.35672783453153056,261.0
weighted avg,0.4689957460435148,0.41379310344827586,0.36368375944134984,261.0
