feature_idx,drift_score,drift_detected,reference_mean,production_mean,reference_std,production_std
0,0.0,False,-0.22550307007801812,-0.2255030700780181,1.3307140900957035,1.3307140900957033
1,0.0,False,0.1507773686635111,0.1507773686635112,1.3585494019850424,1.3585494019850426
2,0.0,False,0.11811537923025778,0.11811537923025783,1.1817936478073625,1.1817936478073623
3,0.0,False,0.10988741148261011,0.10988741148261011,1.3298049999753858,1.3298049999753856
4,0.0,False,-0.14150126344973032,-0.14150126344973035,1.2131971222320952,1.2131971222320954
5,0.0,False,-0.05535843401437746,-0.055358434014377476,1.0835897813275674,1.0835897813275674
6,0.0,False,-0.09759071791502366,-0.09759071791502366,1.2078413108021777,1.207841310802178
7,0.0,False,-0.14008096058828012,-0.14008096058828012,1.199857643253597,1.199857643253597
8,0.0,False,0.07178793324695812,0.07178793324695817,1.135893768657471,1.135893768657471
9,0.0,False,0.04389293071242996,0.04389293071242997,1.1081978830101809,1.1081978830101809
10,0.0,False,0.06732929540512374,0.06732929540512375,1.1861799211682884,1.1861799211682882
11,0.0,False,0.0866461563493189,0.08664615634931891,1.0990392223043257,1.0990392223043253
12,0.0,False,-0.06278318583492114,-0.06278318583492114,1.0487924518331615,1.0487924518331615
13,0.3938025575621644,True,-0.18529348467185727,0.29798100935956234,1.0806353710781615,1.1180354011514584
14,0.0,False,0.042975210497749154,0.042975210497749154,1.0338158116181528,1.0338158116181528
15,0.0,False,-0.0631533541014312,-0.06315335410143119,1.010039820868693,1.010039820868693
16,0.0,False,0.19589403641281067,0.19589403641281053,1.093069470048313,1.0930694700483128
17,0.3105111916319226,True,0.04894555247843715,0.4341483395609324,0.9038027529008476,0.941874917303283
18,0.0,False,0.09649857473212226,0.09649857473212223,1.0290123236332631,1.0290123236332633
19,0.0,False,-0.039863409575707234,-0.03986340957570726,1.074730617586646,1.074730617586646
20,0.0,False,0.028462450440778834,0.02846245044077884,1.0498330352935368,1.049833035293537
21,0.0,False,0.08844856183839864,0.08844856183839864,0.9665528605599171,0.9665528605599171
22,0.0,False,-0.011441784072484555,-0.011441784072484574,0.9133713933051125,0.9133713933051125
23,0.0,False,0.05031320999645787,0.05031320999645786,0.9606790321094868,0.9606790321094867
24,0.0,False,0.042624518890474763,0.04262451889047478,1.0755292305772401,1.0755292305772401
25,0.0,False,0.06158957195549836,0.06158957195549834,0.999948270665797,0.9999482706657971
26,0.8806685684929288,True,0.044929833240895396,0.7123934255260891,0.9727337519968325,0.9905403743469708
27,0.0,False,-0.07592331883259011,-0.07592331883259015,0.8828278839728005,0.8828278839728005
28,0.0,False,-0.09054044230455048,-0.09054044230455044,0.9591604503335887,0.9591604503335887
29,0.0,False,-0.005020219284309422,-0.00502021928430944,0.8895102427330289,0.889510242733029
30,0.3495874851287056,True,-0.05490820512787797,0.436389625075127,0.9878616176378419,1.0463957489700535
31,0.0,False,0.0022663271055543793,0.002266327105554357,0.8870646575162542,0.8870646575162542
32,0.0,False,0.021557563779778778,0.021557563779778795,0.8430085963093625,0.8430085963093626
33,0.0,False,-0.05235468481467722,-0.052354684814677255,0.9138419070659405,0.9138419070659405
34,0.0,False,-0.03714101587890736,-0.03714101587890735,0.8836078619526854,0.8836078619526856
35,0.0,False,-0.0033479960261103914,-0.0033479960261104226,0.9006064182510666,0.9006064182510666
36,0.0,False,0.0032048627149637416,0.0032048627149637294,0.7953454742959141,0.7953454742959141
37,0.0,False,-0.11365969115183513,-0.1136596911518351,0.8838967995849414,0.8838967995849413
38,0.0,False,-0.059200397760714445,-0.059200397760714465,0.8349059550995285,0.8349059550995286
39,0.22132517423282913,False,0.012298204832892084,0.11801019201189514,0.8985845016253116,0.9582240506548396
40,0.0,False,-0.0395241461425521,-0.0395241461425521,0.7639604243746366,0.7639604243746366
41,0.0,False,0.04653042029004955,0.04653042029004955,0.810348678996317,0.8103486789963169
42,0.0,False,0.004074844621232973,0.004074844621232987,0.805141724093361,0.805141724093361
43,0.0,False,0.09636119214843657,0.09636119214843657,0.7114522200852593,0.7114522200852594
44,0.0,False,-0.02043959164740447,-0.020439591647404463,0.82937300894503,0.82937300894503
45,0.23665621987363605,False,0.0003225626667076709,0.3109664688517192,0.8331075707541453,0.8406798168024437
46,0.0,False,0.0015912364997149367,0.00159123649971497,0.7573615993176601,0.7573615993176601
47,0.0,False,0.0010754714833687451,0.0010754714833687406,0.6844136652472549,0.6844136652472548
48,1.6223130288477599,True,0.09589775917117559,0.8200837354030586,0.7480892385565617,0.794969016926138
49,0.0,False,-0.03959547569729706,-0.03959547569729706,0.7212076348610197,0.7212076348610199
